antecedents,consequents,support,confidence,lift
frozenset({23}),"frozenset({1, 18})",0.05,0.6666666666666667,13.333333333333334
"frozenset({1, 18})",frozenset({23}),0.05,1.0,13.333333333333334
"frozenset({8, 14})",frozenset({12}),0.05,0.6666666666666667,8.888888888888891
frozenset({12}),"frozenset({8, 14})",0.05,0.6666666666666667,8.888888888888891
"frozenset({18, 23})",frozenset({1}),0.05,1.0,8.0
frozenset({1}),"frozenset({18, 23})",0.05,0.4,8.0
frozenset({24}),frozenset({15}),0.05,0.5,6.666666666666667
frozenset({15}),frozenset({24}),0.05,0.6666666666666667,6.666666666666667
frozenset({4}),"frozenset({25, 11})",0.05,0.4,5.333333333333334
"frozenset({25, 4})",frozenset({11}),0.05,0.6666666666666667,5.333333333333334
"frozenset({25, 11})",frozenset({4}),0.05,0.6666666666666667,5.333333333333334
frozenset({11}),"frozenset({25, 4})",0.05,0.4,5.333333333333334
frozenset({23}),frozenset({1}),0.05,0.6666666666666667,5.333333333333334
frozenset({1}),frozenset({23}),0.05,0.4,5.333333333333334
"frozenset({12, 14})",frozenset({8}),0.05,1.0,4.444444444444445
frozenset({8}),"frozenset({12, 14})",0.05,0.22222222222222224,4.444444444444445
frozenset({25}),"frozenset({11, 4})",0.05,0.2,4.0
"frozenset({11, 4})",frozenset({25}),0.05,1.0,4.0
frozenset({11}),frozenset({13}),0.05,0.4,4.0
frozenset({14}),"frozenset({10, 18})",0.05,0.2,4.0
"frozenset({8, 12})",frozenset({14}),0.05,1.0,4.0
frozenset({11}),frozenset({3}),0.05,0.4,4.0
"frozenset({10, 18})",frozenset({14}),0.05,1.0,4.0
frozenset({14}),"frozenset({8, 12})",0.05,0.2,4.0
frozenset({13}),frozenset({11}),0.05,0.5,4.0
frozenset({3}),frozenset({11}),0.05,0.5,4.0
frozenset({18}),"frozenset({1, 23})",0.05,0.18181818181818182,3.6363636363636362
frozenset({18}),"frozenset({10, 14})",0.05,0.18181818181818182,3.6363636363636362
"frozenset({1, 23})",frozenset({18}),0.05,1.0,3.6363636363636362
"frozenset({10, 14})",frozenset({18}),0.05,1.0,3.6363636363636362
frozenset({10}),frozenset({7}),0.125,0.625,3.5714285714285716
frozenset({7}),frozenset({10}),0.125,0.7142857142857143,3.571428571428571
frozenset({4}),frozenset({11}),0.05,0.4,3.2
frozenset({11}),frozenset({4}),0.05,0.4,3.2
frozenset({24}),frozenset({25}),0.075,0.7499999999999999,2.9999999999999996
frozenset({25}),frozenset({24}),0.075,0.3,2.9999999999999996
frozenset({12}),frozenset({8}),0.05,0.6666666666666667,2.9629629629629632
frozenset({8}),frozenset({12}),0.05,0.22222222222222224,2.9629629629629632
frozenset({20}),frozenset({6}),0.05,0.5,2.857142857142857
frozenset({13}),frozenset({19}),0.05,0.5,2.857142857142857
frozenset({19}),frozenset({13}),0.05,0.28571428571428575,2.857142857142857
frozenset({6}),frozenset({20}),0.05,0.28571428571428575,2.857142857142857
frozenset({15}),frozenset({14}),0.05,0.6666666666666667,2.666666666666667
frozenset({14}),frozenset({15}),0.05,0.2,2.666666666666667
frozenset({14}),frozenset({12}),0.05,0.2,2.666666666666667
frozenset({12}),frozenset({14}),0.05,0.6666666666666667,2.666666666666667
frozenset({17}),frozenset({1}),0.05,0.33333333333333337,2.666666666666667
frozenset({1}),frozenset({17}),0.05,0.4,2.666666666666667
frozenset({9}),frozenset({22}),0.075,0.5,2.5
frozenset({22}),frozenset({9}),0.075,0.37499999999999994,2.4999999999999996
frozenset({18}),frozenset({23}),0.05,0.18181818181818182,2.4242424242424243
"frozenset({8, 14})",frozenset({18}),0.05,0.6666666666666667,2.4242424242424243
frozenset({23}),frozenset({18}),0.05,0.6666666666666667,2.4242424242424243
frozenset({18}),"frozenset({8, 14})",0.05,0.18181818181818182,2.4242424242424243
frozenset({4}),frozenset({25}),0.075,0.6,2.4
frozenset({25}),frozenset({4}),0.075,0.3,2.4
frozenset({11}),frozenset({25}),0.075,0.6,2.4
frozenset({25}),frozenset({11}),0.075,0.3,2.4
frozenset({16}),frozenset({3}),0.05,0.2,2.0
frozenset({14}),"frozenset({8, 18})",0.05,0.2,2.0
frozenset({10}),"frozenset({18, 14})",0.05,0.25,2.0
"frozenset({8, 18})",frozenset({14}),0.05,0.5,2.0
frozenset({3}),frozenset({16}),0.05,0.5,2.0
"frozenset({18, 14})",frozenset({10}),0.05,0.4,2.0
frozenset({18}),frozenset({14}),0.125,0.45454545454545453,1.8181818181818181
frozenset({14}),frozenset({18}),0.125,0.5,1.8181818181818181
frozenset({3}),frozenset({18}),0.05,0.5,1.8181818181818181
frozenset({18}),frozenset({3}),0.05,0.18181818181818182,1.8181818181818181
frozenset({24}),frozenset({18}),0.05,0.5,1.8181818181818181
frozenset({18}),frozenset({24}),0.05,0.18181818181818182,1.8181818181818181
"frozenset({18, 14})",frozenset({8}),0.05,0.4,1.777777777777778
frozenset({16}),frozenset({8}),0.1,0.4,1.777777777777778
frozenset({8}),frozenset({16}),0.1,0.4444444444444445,1.777777777777778
frozenset({8}),"frozenset({18, 14})",0.05,0.22222222222222224,1.777777777777778
frozenset({14}),frozenset({6}),0.075,0.3,1.7142857142857144
frozenset({6}),frozenset({14}),0.075,0.4285714285714286,1.7142857142857144
frozenset({6}),frozenset({19}),0.05,0.28571428571428575,1.63265306122449
frozenset({19}),frozenset({6}),0.05,0.28571428571428575,1.63265306122449
frozenset({8}),frozenset({18}),0.1,0.4444444444444445,1.6161616161616161
frozenset({18}),frozenset({8}),0.1,0.36363636363636365,1.6161616161616161
frozenset({25}),frozenset({1}),0.05,0.2,1.6
frozenset({1}),frozenset({25}),0.05,0.4,1.6
frozenset({18}),frozenset({1}),0.05,0.18181818181818182,1.4545454545454546
frozenset({1}),frozenset({18}),0.05,0.4,1.4545454545454546
frozenset({7}),frozenset({22}),0.05,0.28571428571428575,1.4285714285714286
frozenset({22}),frozenset({19}),0.05,0.25,1.4285714285714286
frozenset({22}),frozenset({7}),0.05,0.25,1.4285714285714286
frozenset({19}),frozenset({22}),0.05,0.28571428571428575,1.4285714285714286
frozenset({14}),frozenset({8}),0.075,0.3,1.3333333333333333
frozenset({8}),frozenset({14}),0.075,0.3333333333333333,1.3333333333333333
frozenset({19}),frozenset({8}),0.05,0.28571428571428575,1.26984126984127
frozenset({8}),frozenset({19}),0.05,0.22222222222222224,1.26984126984127
frozenset({10}),frozenset({22}),0.05,0.25,1.25
frozenset({22}),frozenset({10}),0.05,0.25,1.25
frozenset({18}),frozenset({17}),0.05,0.18181818181818182,1.2121212121212122
frozenset({17}),frozenset({18}),0.05,0.33333333333333337,1.2121212121212122
frozenset({19}),frozenset({25}),0.05,0.28571428571428575,1.142857142857143
frozenset({25}),frozenset({19}),0.05,0.2,1.142857142857143
frozenset({7}),frozenset({14}),0.05,0.28571428571428575,1.142857142857143
frozenset({14}),frozenset({7}),0.05,0.2,1.142857142857143
frozenset({6}),frozenset({18}),0.05,0.28571428571428575,1.038961038961039
frozenset({18}),frozenset({6}),0.05,0.18181818181818182,1.038961038961039
frozenset({10}),frozenset({14}),0.05,0.25,1.0
frozenset({14}),frozenset({10}),0.05,0.2,1.0
frozenset({16}),frozenset({10}),0.05,0.2,1.0
frozenset({10}),frozenset({16}),0.05,0.25,1.0
